year,week,total_specimens,percent_positive,wk_date
2014,1,852,23,2013-12-29
2014,2,1087,29.44,2014-01-05
2014,3,1201,28.89,2014-01-12
2014,4,1297,27.14,2014-01-19
2014,5,1164,23.45,2014-01-26
2014,6,906,19.98,2014-02-02
2014,7,810,11.23,2014-02-09
2014,8,617,8.43,2014-02-16
2014,9,665,5.26,2014-02-23
2014,10,576,2.43,2014-03-02
2014,11,532,3.2,2014-03-09
2014,12,431,2.32,2014-03-16
2014,13,374,4.01,2014-03-23
2014,14,349,1.15,2014-03-30
2014,15,362,5.8,2014-04-06
2014,16,327,2.75,2014-04-13
2014,17,289,2.08,2014-04-20
2014,18,266,4.14,2014-04-27
2014,19,266,5.64,2014-05-04
2014,20,279,5.38,2014-05-11
2014,21,272,5.51,2014-05-18
2014,22,252,4.76,2014-05-25
2014,23,226,3.54,2014-06-01
2014,24,229,2.62,2014-06-08
2014,25,262,2.67,2014-06-15
2014,26,219,2.28,2014-06-22
2014,27,196,1.53,2014-06-29
2014,28,200,2,2014-07-06
2014,29,192,1.56,2014-07-13
2014,30,227,3.08,2014-07-20
2014,31,192,0.52,2014-07-27
2014,32,178,2.25,2014-08-03
2014,33,204,1.96,2014-08-10
2014,34,192,0.52,2014-08-17
2014,35,216,0.46,2014-08-24
2014,36,252,0,2014-08-31
2014,37,278,0,2014-09-07
2014,38,297,0,2014-09-14
2014,39,248,1.21,2014-09-21
2014,40,560,1.61,2014-09-28
2014,41,609,2.46,2014-10-05
2014,42,554,3.07,2014-10-12
2014,43,591,2.03,2014-10-19
2014,44,562,3.91,2014-10-26
2014,45,662,2.11,2014-11-02
2014,46,611,3.27,2014-11-09
2014,47,653,3.68,2014-11-16
2014,48,649,5.55,2014-11-23
2014,49,790,11.01,2014-11-30
2014,50,849,15.19,2014-12-07
2014,51,1076,15.24,2014-12-14
2014,52,1453,24.71,2014-12-21
2014,53,1777,27.8,2014-12-28
2015,1,2471,37.88,2015-01-04
2015,2,3119,42.64,2015-01-11
2015,3,3139,36.92,2015-01-18
2015,4,3187,36.12,2015-01-25
2015,5,2821,35.24,2015-02-01
2015,6,2567,26.26,2015-02-08
2015,7,2062,23.04,2015-02-15
2015,8,1788,17,2015-02-22
2015,9,1614,17.53,2015-03-01
2015,10,1472,12.7,2015-03-08
2015,11,1372,11.01,2015-03-15
2015,12,1128,9.84,2015-03-22
2015,13,894,8.17,2015-03-29
2015,14,776,7.99,2015-04-05
2015,15,727,8.8,2015-04-12
2015,16,657,7.91,2015-04-19
2015,17,586,4.61,2015-04-26
2015,18,543,7,2015-05-03
2015,19,491,6.11,2015-05-10
2015,20,533,5.82,2015-05-17
2015,21,519,4.05,2015-05-24
2015,22,465,3.23,2015-05-31
2015,23,512,4.1,2015-06-07
2015,24,432,2.78,2015-06-14
2015,25,424,2.36,2015-06-21
2015,26,326,4.29,2015-06-28
2015,27,351,1.42,2015-07-05
2015,28,286,1.75,2015-07-12
2015,29,303,0.66,2015-07-19
2015,30,300,0,2015-07-26
2015,31,299,1.67,2015-08-02
2015,32,315,2.86,2015-08-09
2015,33,289,1.04,2015-08-16
2015,34,379,0.79,2015-08-23
2015,35,331,3.02,2015-08-30
2015,36,410,1.71,2015-09-06
2015,37,419,1.43,2015-09-13
2015,38,431,2.55,2015-09-20
2015,39,539,2.23,2015-09-27
2015,40,679,0.29,2015-10-04
2015,41,657,0.76,2015-10-11
2015,42,606,0.33,2015-10-18
2015,43,671,0,2015-10-25
2015,44,803,1,2015-11-01
2015,45,866,1.04,2015-11-08
2015,46,939,0.64,2015-11-15
2015,47,854,0.59,2015-11-22
2015,48,1010,1.58,2015-11-29
2015,49,982,0.92,2015-12-06
2015,50,1010,1.68,2015-12-13
2015,51,1104,3.53,2015-12-20
2015,52,1255,3.98,2015-12-27
2016,1,1401,7.92,2016-01-03
2016,2,1453,9.64,2016-01-10
2016,3,1594,12.11,2016-01-17
2016,4,1852,12.85,2016-01-24
2016,5,1981,13.83,2016-01-31
2016,6,2288,20.24,2016-02-07
2016,7,2487,23.4,2016-02-14
2016,8,2458,22.62,2016-02-21
2016,9,2437,21.95,2016-02-28
2016,10,2001,18.34,2016-03-06
2016,11,2068,13.15,2016-03-13
2016,12,1565,12.59,2016-03-20
2016,13,1363,8.66,2016-03-27
2016,14,1326,7.16,2016-04-03
2016,15,1036,4.83,2016-04-10
2016,16,973,3.91,2016-04-17
2016,17,1056,3.22,2016-04-24
2016,18,782,2.69,2016-05-01
2016,19,645,2.33,2016-05-08
2016,20,667,1.8,2016-05-15
2016,21,594,1.85,2016-05-22
2016,22,487,1.03,2016-05-29
2016,23,501,1,2016-06-05
2016,24,499,1,2016-06-12
2016,25,508,0.39,2016-06-19
2016,26,397,0.25,2016-06-26
2016,27,365,0.27,2016-07-03
2016,28,478,0.84,2016-07-10
2016,29,517,0.77,2016-07-17
2016,30,431,0.7,2016-07-24
2016,31,450,0.22,2016-07-31
2016,32,350,0.29,2016-08-07
2016,33,475,0.21,2016-08-14
2016,34,381,1.05,2016-08-21
2016,35,434,0.69,2016-08-28
2016,36,455,1.32,2016-09-04
2016,37,569,0.53,2016-09-11
2016,38,559,1.97,2016-09-18
2016,39,621,0.97,2016-09-25
2016,40,797,0.38,2016-10-02
2016,41,840,0.6,2016-10-09
2016,42,838,0.72,2016-10-16
2016,43,837,1.31,2016-10-23
2016,44,874,1.37,2016-10-30
2016,45,950,1.37,2016-11-06
2016,46,1013,1.09,2016-11-13
2016,47,948,1.9,2016-11-20
2016,48,1261,1.82,2016-11-27
2016,49,1181,3.39,2016-12-04
2016,50,1392,5.82,2016-12-11
2016,51,1530,7.91,2016-12-18
2016,52,1839,12.4,2016-12-25
2017,1,2139,15.8,2017-01-01
2017,2,2254,16.24,2017-01-08
2017,3,2055,13.72,2017-01-15
2017,4,2026,12.73,2017-01-22
2017,5,2124,14.64,2017-01-29
2017,6,2184,15.71,2017-02-05
2017,7,2089,11.49,2017-02-12
2017,8,1806,9.8,2017-02-19
2017,9,1699,6.77,2017-02-26
2017,10,1748,5.89,2017-03-05
2017,11,1635,7.52,2017-03-12
2017,12,1476,6.44,2017-03-19
2017,13,1326,5.43,2017-03-26
2017,14,1300,6.85,2017-04-02
2017,15,1035,4.83,2017-04-09
2017,16,1041,3.84,2017-04-16
2017,17,958,3.65,2017-04-23
2017,18,843,3.68,2017-04-30
2017,19,810,5.19,2017-05-07
2017,20,829,4.22,2017-05-14
2017,21,795,5.66,2017-05-21
2017,22,746,3.75,2017-05-28
2017,23,716,4.19,2017-06-04
2017,24,640,1.72,2017-06-11
2017,25,611,2.95,2017-06-18
2017,26,470,4.04,2017-06-25
2017,27,494,2.63,2017-07-02
2017,28,610,1.48,2017-07-09
2017,29,588,1.53,2017-07-16
2017,30,509,1.18,2017-07-23
2017,31,465,1.08,2017-07-30
2017,32,475,1.47,2017-08-06
2017,33,480,0.63,2017-08-13
2017,34,558,1.08,2017-08-20
2017,35,627,0.64,2017-08-27
2017,36,595,1.34,2017-09-03
2017,37,663,1.51,2017-09-10
2017,38,789,1.27,2017-09-17
2017,39,938,1.17,2017-09-24
2017,40,794,0.88,2017-10-01
2017,41,832,2.28,2017-10-08
2017,42,882,2.38,2017-10-15
2017,43,922,4.01,2017-10-22
2017,44,1016,6.59,2017-10-29
2017,45,1086,7.18,2017-11-05
2017,46,1160,8.53,2017-11-12
2017,47,1272,14.39,2017-11-19
2017,48,1439,14.8,2017-11-26
2017,49,1807,20.86,2017-12-03
2017,50,2336,28.72,2017-12-10
2017,51,3144,34,2017-12-17
2017,52,3339,38.75,2017-12-24
2018,1,3272,30.93,2017-12-31
2018,2,2893,22.05,2018-01-07
2018,3,2476,16.6,2018-01-14
2018,4,2428,16.39,2018-01-21
2018,5,2509,17.5,2018-01-28
2018,6,2778,17.46,2018-02-04
2018,7,2604,16.44,2018-02-11
2018,8,2138,13.75,2018-02-18
2018,9,2131,16.19,2018-02-25
2018,10,2041,16.32,2018-03-04
2018,11,1976,16.09,2018-03-11
2018,12,1632,9.99,2018-03-18
2018,13,1308,7.49,2018-03-25
2018,14,1084,7.38,2018-04-01
2018,15,855,4.8,2018-04-08
2018,16,568,3.35,2018-04-15
2018,17,689,3.92,2018-04-22
2018,18,621,1.77,2018-04-29
2018,19,553,0.54,2018-05-06
2018,20,519,1.35,2018-05-13
2018,21,430,1.86,2018-05-20
2018,22,407,0.49,2018-05-27
2018,23,402,1.74,2018-06-03
2018,24,347,0.29,2018-06-10
2018,25,243,0,2018-06-17
2018,26,62,0,2018-06-24
