"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
National,X,2012,40,4513,3.78905,9,0,73,11,0,78,0
National,X,2012,41,4914,3.92755,7,0,67,24,0,95,0
National,X,2012,42,5249,5.81063,4,0,131,48,0,122,0
National,X,2012,43,5306,6.55861,3,0,152,52,0,141,0
National,X,2012,44,5406,7.86164,4,0,188,79,0,154,0
National,X,2012,45,6446,9.75799,5,0,277,116,0,231,0
National,X,2012,46,6721,13.3611,8,0,404,217,0,267,2
National,X,2012,47,7433,18.4179,7,0,591,407,0,364,0
National,X,2012,48,9333,22.3829,19,0,1022,545,0,503,0
National,X,2012,49,12060,29.204,39,0,1787,1003,0,693,0
National,X,2012,50,14711,32.6083,53,0,2662,1226,0,856,0
National,X,2012,51,16904,37.4527,55,0,3703,1419,0,1154,0
National,X,2012,52,18139,37.8742,88,0,3825,1758,0,1199,0
National,X,2013,1,19673,35.2971,95,0,3723,1980,0,1146,0
National,X,2013,2,22224,34.2063,126,0,4073,2166,0,1237,0
National,X,2013,3,20931,30.5432,127,0,3232,1892,0,1142,0
National,X,2013,4,18668,29.5747,145,0,2527,1660,0,1189,0
National,X,2013,5,16228,26.5221,143,0,1952,1051,0,1158,0
National,X,2013,6,14491,22.7314,121,0,1205,780,0,1188,0
National,X,2013,7,12691,20.8809,78,0,844,534,0,1194,0
National,X,2013,8,11354,20.037,78,0,575,397,0,1225,0
National,X,2013,9,10504,18.7262,60,0,417,309,0,1181,0
National,X,2013,10,10165,17.9144,70,0,330,217,0,1204,0
National,X,2013,11,9559,16.916,49,0,212,201,0,1155,0
National,X,2013,12,8647,15.913,36,0,179,144,0,1017,0
National,X,2013,13,7722,14.4522,41,0,124,98,0,853,0
National,X,2013,14,6782,13.9339,30,0,121,107,0,687,0
National,X,2013,15,6198,10.8261,48,0,69,65,0,489,0
National,X,2013,16,5575,8.75336,30,0,79,47,0,332,0
National,X,2013,17,5095,7.67419,34,0,60,48,0,249,0
National,X,2013,18,4919,6.5867,18,0,55,29,0,222,0
National,X,2013,19,4473,5.41024,13,0,36,27,0,166,0
National,X,2013,20,4102,4.46124,11,0,24,22,0,126,0
National,X,2013,21,4097,4.36905,15,0,21,20,0,123,0
