STATENAME,URL,WEBSITE,ACTIVITYESTIMATE,WEEKEND,WEEK,SEASON
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-05-2013,40,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-12-2013,41,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-19-2013,42,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Oct-26-2013,43,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-02-2013,44,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-09-2013,45,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-16-2013,46,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-23-2013,47,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-30-2013,48,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-07-2013,49,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-14-2013,50,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-21-2013,51,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-28-2013,52,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-04-2014,1,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-11-2014,2,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-18-2014,3,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-25-2014,4,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-01-2014,5,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-08-2014,6,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-15-2014,7,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Feb-22-2014,8,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Mar-01-2014,9,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Mar-08-2014,10,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Mar-15-2014,11,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Mar-22-2014,12,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Mar-29-2014,13,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-05-2014,14,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-12-2014,15,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-19-2014,16,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Apr-26-2014,17,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-03-2014,18,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-10-2014,19,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-17-2014,20,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,May-17-2014,20,2013-14
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Oct-04-2014,40,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-11-2014,41,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-18-2014,42,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Oct-25-2014,43,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-01-2014,44,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Sporadic,Nov-08-2014,45,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Nov-15-2014,46,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-22-2014,47,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Nov-29-2014,48,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-06-2014,49,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-13-2014,50,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Dec-20-2014,51,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Dec-27-2014,52,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Jan-03-2015,53,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-10-2015,1,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-17-2015,2,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-24-2015,3,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Jan-31-2015,4,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-07-2015,5,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Local Activity,Feb-14-2015,6,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Widespread,Feb-21-2015,7,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Feb-28-2015,8,2014-15
Alabama,http://adph.org/influenza/,"Influenza Surveillance",Regional,Mar-07-2015,9,2014-15
