PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,California,2012,40,X,2.10133,X,X,X,X,X,X,720,123,34264
States,California,2012,41,X,2.26502,X,X,X,X,X,X,781,123,34481
States,California,2012,42,X,2.35697,X,X,X,X,X,X,840,126,35639
States,California,2012,43,X,2.37177,X,X,X,X,X,X,812,122,34236
States,California,2012,44,X,2.45736,X,X,X,X,X,X,853,119,34712
States,California,2012,45,X,2.56157,X,X,X,X,X,X,909,120,35486
States,California,2012,46,X,2.51209,X,X,X,X,X,X,857,123,34115
States,California,2012,47,X,2.73042,X,X,X,X,X,X,639,123,23403
States,California,2012,48,X,2.56313,X,X,X,X,X,X,946,129,36908
States,California,2012,49,X,2.45937,X,X,X,X,X,X,905,128,36798
States,California,2012,50,X,2.70899,X,X,X,X,X,X,920,126,33961
States,California,2012,51,X,3.37338,X,X,X,X,X,X,1025,117,30385
States,California,2012,52,X,5.49621,X,X,X,X,X,X,957,110,17412
States,California,2013,1,X,3.62306,X,X,X,X,X,X,812,123,22412
States,California,2013,2,X,3.7083,X,X,X,X,X,X,1255,125,33843
States,California,2013,3,X,4.98923,X,X,X,X,X,X,1783,126,35737
States,California,2013,4,X,5.83965,X,X,X,X,X,X,2043,124,34985
States,California,2013,5,X,6.10146,X,X,X,X,X,X,2349,126,38499
States,California,2013,6,X,5.4357,X,X,X,X,X,X,1993,115,36665
States,California,2013,7,X,4.86921,X,X,X,X,X,X,1746,120,35858
States,California,2013,8,X,4.14831,X,X,X,X,X,X,1365,123,32905
States,California,2013,9,X,3.70949,X,X,X,X,X,X,1354,123,36501
States,California,2013,10,X,3.98337,X,X,X,X,X,X,1399,121,35121
States,California,2013,11,X,3.45064,X,X,X,X,X,X,1159,115,33588
States,California,2013,12,X,3.237,X,X,X,X,X,X,1017,116,31418
States,California,2013,13,X,2.96289,X,X,X,X,X,X,871,117,29397
States,California,2013,14,X,2.50403,X,X,X,X,X,X,715,108,28554
States,California,2013,15,X,1.97829,X,X,X,X,X,X,687,109,34727
States,California,2013,16,X,1.82625,X,X,X,X,X,X,609,106,33347
States,California,2013,17,X,1.7337,X,X,X,X,X,X,600,111,34608
States,California,2013,18,X,1.6856,X,X,X,X,X,X,561,106,33282
States,California,2013,19,X,1.62542,X,X,X,X,X,X,528,107,32484
States,California,2013,20,X,1.69397,X,X,X,X,X,X,545,100,32173
States,California,2013,21,X,1.59179,X,X,X,X,X,X,495,96,31097
States,California,2013,22,X,1.52385,X,X,X,X,X,X,390,98,25593
States,California,2013,23,X,1.54648,X,X,X,X,X,X,454,98,29357
States,California,2013,24,X,1.58567,X,X,X,X,X,X,433,92,27307
States,California,2013,25,X,1.59109,X,X,X,X,X,X,407,90,25580
States,California,2013,26,X,1.41541,X,X,X,X,X,X,355,89,25081
States,California,2013,27,X,1.43255,X,X,X,X,X,X,288,91,20104
States,California,2013,28,X,1.25056,X,X,X,X,X,X,334,92,26708
States,California,2013,29,X,1.30391,X,X,X,X,X,X,325,88,24925
States,California,2013,30,X,1.3224,X,X,X,X,X,X,324,85,24501
States,California,2013,31,X,1.22818,X,X,X,X,X,X,299,82,24345
States,California,2013,32,X,1.32131,X,X,X,X,X,X,299,78,22629
States,California,2013,33,X,1.21946,X,X,X,X,X,X,285,75,23371
States,California,2013,34,X,1.19376,X,X,X,X,X,X,294,73,24628
States,California,2013,35,X,1.53035,X,X,X,X,X,X,389,75,25419
States,California,2013,36,X,1.63164,X,X,X,X,X,X,354,76,21696
States,California,2013,37,X,1.70543,X,X,X,X,X,X,440,75,25800
States,California,2013,38,X,1.67839,X,X,X,X,X,X,451,77,26871
States,California,2013,39,X,1.94581,X,X,X,X,X,X,530,80,27238
States,California,2013,40,X,1.52479,X,X,X,X,X,X,633,137,41514
States,California,2013,41,X,1.75269,X,X,X,X,X,X,744,137,42449
States,California,2013,42,X,1.74662,X,X,X,X,X,X,687,133,39333
States,California,2013,43,X,1.77965,X,X,X,X,X,X,744,133,41806
States,California,2013,44,X,1.99307,X,X,X,X,X,X,828,139,41544
States,California,2013,45,X,2.29774,X,X,X,X,X,X,977,147,42520
